Section_EN;SubSection_EN;Section_PL;SubSection_PL;Product_EN;Product_PL;Product_CHI;Price
INGREDIENTS 原料;Noodles 義⼤利麵;SKŁADNIKI 原料;MAKARONY ⾯⻝;N/A;N/A;N/A;N/A
INGREDIENTS 原料;Noodles 義⼤利麵;SKŁADNIKI 原料;MAKARONY ⾯⻝;WHEAT NOODLES; MAKARON PSZENNY ;⼩⿆麵⻝;20 PLN
INGREDIENTS 原料;Noodles 義⼤利麵;SKŁADNIKI 原料;MAKARONY ⾯⻝; KONJAC NOODLES;MAKARON KONJAC;蒟蒻意麵; 18 PLN
INGREDIENTS 原料;Noodles 義⼤利麵;SKŁADNIKI 原料;MAKARONY ⾯⻝; RICE NOODLES; KLUSKI RYŻOWE;粽⼦; 24 PLN
INGREDIENTS 原料;Sets 套;SKŁADNIKI 原料;ZESTAWY 套;N/A;N/A;N/A;N/A
INGREDIENTS 原料;Sets 套;SKŁADNIKI 原料;ZESTAWY 套;SET - 1 PERSON; ZESTAW - 1 OS.;单⼈套餐;120 PLN
INGREDIENTS 原料;Sets 套;SKŁADNIKI 原料;ZESTAWY 套;SET FOR TWO ; ZESTAW DLA DWOJGA;双⼈套餐; 189 PLN
Test;N/A;Test;N/A;N/A;N/A;N/A;N/A
Test;Test;Test;Test;N/A;N/A;N/A;N/A
Test;Test;Test;Test;Test;Test;Test;Test
